original_sentence,truncated_sentence
Several long-tracked F5/EF5 tornadoes have contributed to Alabama reporting more tornado fatalities since 1950 than any other state.,Several long-tracked F5/EF5 tornadoes have
"Seward, as Secretary of State and left most diplomatic issues in his portfolio.","Seward, as Secretary of State"
"Sexual violence was a concern for anarchists such as Benjamin Tucker, who opposed age of consent laws, believing they would benefit predatory men.",Sexual violence was a concern
Sexuality was not often discussed by classical anarchists but the few that did felt that an anarchist society would lead to sexuality naturally developing.,Sexuality was not often discussed
"She was the daughter of Robert Smith Todd, a wealthy lawyer and businessman in Lexington, Kentucky.",She was the daughter of
Similarly most rural counties are majority-Republican and elections are effectively decided in the Republican Primary.,Similarly most rural counties are
"Since 2009, the Best Picture winner has been chosen by instant runoff voting.","Since 2009, the Best Picture"
"Since the 1890s and beginning in France, libertarianism has often been used as a synonym for anarchism and its use as a synonym is still common outside the United States.",Since the 1890s and beginning
"Since the 90th Academy Awards, presented in 2018, multi-part and limited series have been ineligible for the Best Documentary Feature award.","Since the 90th Academy Awards,"
Since then the statuettes have been legally encumbered by the requirement that the statuette be first offered for sale back to the Academy for US$1.,Since then the statuettes have
"Sleep takes place as a result of overuse of the senses or of digestion, so it is vital to the body.",Sleep takes place as a
"Small-scale effects
Albedo works on a smaller scale, too.",Small-scale effects Albedo works on
"Sociologist Barry Schwartz argues that Lincoln's American reputation grew slowly from the late 19th century until the Progressive Era (1900–1920s), when he emerged as one of America's most venerated heroes, even among white Southerners.",Sociologist Barry Schwartz argues that
"Solar photovoltaic effects 
Albedo can affect the electrical energy output of solar photovoltaic devices.",Solar photovoltaic effects Albedo can
Some critics believe the election of judges has contributed to an exceedingly high rate of executions.,Some critics believe the election
"Some did not think it belonged in a program with classical composers César Franck, Richard Wagner, or Guillaume Lekeu on its premiere.",Some did not think it
"Some of his technical terms remain in use, such as carpel from carpos, fruit, and pericarp, from pericarpion, seed chamber.",Some of his technical terms
"Some researchers deem the name a loan word, possibly from a Pre-Greek language.",Some researchers deem the name
"Some scholars suggest the word comes from the Choctaw  (meaning 'plants' or 'weeds') and  (meaning 'to cut', 'to trim', or 'to gather').",Some scholars suggest the word
"Some time later, the Kingdom of Pergamon began conscripting books for a royal library, and the heirs of Neleus hid their collection in a cellar to prevent it from being seized for that purpose.","Some time later, the Kingdom"
Sources disagree on the word's meaning.,Sources disagree on the word's
South Alabama reports many thunderstorms.,South Alabama reports many thunderstorms.
Southeastern planters and traders from the Upper South brought slaves with them as the cotton plantations in Alabama expanded.,Southeastern planters and traders from
"Space & Rocket Center in Huntsville with an attendance of 849,981, followed by the Birmingham Zoo with 543,090.",Space & Rocket Center in
"Special categories 
The Special Academy Awards are voted on by special committees, rather than by the Academy membership as a whole.",Special categories The Special Academy
Specific anarchist attitudes towards the state vary.,Specific anarchist attitudes towards the
"Speculation persists that Lincoln's first romantic interest was Ann Rutledge, whom he met when he moved to New Salem.",Speculation persists that Lincoln's first
Stanton and Andrew Johnson.,Stanton and Andrew Johnson.
"Starting with the oldest account, In the Iliad Book XXII, Hector predicts with his last dying breath that Paris and Apollo will slay him at the Scaean Gates leading to Troy (with an arrow to the heel according to Statius).","Starting with the oldest account,"
"State elections 
With the disfranchisement of Blacks in 1901, the state became part of the ""Solid South"", a system in which the Democratic Party operated as effectively the only viable political party in every Southern state.",State elections With the disfranchisement
"Steel have facilities in Alabama and employ more than 10,000 people.",Steel have facilities in Alabama
"Steel jobs, for instance, declined from 46,314 in 1950 to 14,185 in 2011.","Steel jobs, for instance, declined"
"Strabo mentioned that the cape of the Racecourse of Achilles was sacred to Achilles and although it was treeless, was called Alsos (ἄλσος).",Strabo mentioned that the cape
"Stuart, Mary Todd's cousin.","Stuart, Mary Todd's cousin."
Studies by the Hadley Centre have investigated the relative (generally warming) effect of albedo change and (cooling) effect of carbon sequestration on planting forests.,Studies by the Hadley Centre
Supreme Court ruled in Brown v.,Supreme Court ruled in Brown
Surface albedo is defined as the ratio of radiosity Je to the irradiance Ee (flux per unit area) received by a surface.,Surface albedo is defined as
"TV ratings 
Historically, the telecast's viewership is higher when box-office hits are favored to win the Best Picture award.","TV ratings Historically, the telecast's"
"Tactics 
Anarchists' tactics take various forms but in general serve two major goals, namely, to first oppose the Establishment and secondly to promote anarchist ethics and reflect an anarchist vision of society, illustrating the unity of means and ends.",Tactics Anarchists' tactics take various
